ID,text,target
ynat-v1_train_00003,갤노트8 주말 27만대 개통…시장은 불법 보조금 얼룩,5
ynat-v1_train_00005,美성인 6명 중 1명꼴 배우자·연인 빚 떠안은 적 있다,0
ynat-v1_train_00008,朴대통령 얼마나 많이 놀라셨어요…경주 지진현장 방문종합,6
ynat-v1_train_00009,듀얼심 아이폰 하반기 출시설 솔솔…알뜰폰 기대감,4
ynat-v1_train_00012,황총리 각 부처 비상대비태세 철저히 강구해야,2
ynat-v1_train_00015,게시판 KISA 박민정 책임연구원 APTLD 이사 선출,0
ynat-v1_train_00016,공사업체 협박에 분쟁해결 명목 돈 받은 언론인 집행유예,3
ynat-v1_train_00017,월세 전환에 늘어나는 주거비 부담…작년 역대 최고치,5
ynat-v1_train_00019,페이스북 인터넷 드론 아퀼라 실물 첫 시험비행 성공,2
ynat-v1_train_00023,아시안게임 목소리 높인 박항서 베트남이 일본 못 이길...,6
ynat-v1_train_00024,서울에 다시 오존주의보…도심·서북·동북권 발령종합,1
ynat-v1_train_00035,게시판 KBS 코로나가 바꾼 일상 대국민 영상 공모,0
ynat-v1_train_00036,크루즈 관광객용 반나절 부산 해안 트레킹 상품 개발,5
ynat-v1_train_00038,마틴 우리카드 코치로 V리그 복귀…한국 좋아요,5
ynat-v1_train_00040,피폭 노동자가 증언하는 후쿠시마 원전 은폐와 속임수,6
ynat-v1_train_00043,한국민족의 뿌리가 북방…5천년 전 한반도서 자생적으로 형성,0
ynat-v1_train_00051,근육조직 생성에 필수적인 열쇠 발견,0
ynat-v1_train_00056,유엔 리비아 내전 악화·국제적 확산 우려…아랍연맹 긴급회의종합,4
ynat-v1_train_00060,공룡 파충류보다는 타조·매 등 새에 가깝다,2
ynat-v1_train_00061,대한항공 우리카드 꺾고 3연승…GS칼텍스 1라운드 전승종합,5
ynat-v1_train_00063,영상 선출부터 퇴장까지…나경원 원내대표 파란만장 1년,5
ynat-v1_train_00070,모바일 컴퓨팅 미래는…서울서 국제학회 ACM 모비시스 개막,3
ynat-v1_train_00072,獨 反이스라엘 테러 팔레스타인인 강연 차단…비자도 취소,3
ynat-v1_train_00073,대한항공 인천∼바르셀로나 노선 첫 취항,1
ynat-v1_train_00081,한산한 성산일출봉 주차장,3
ynat-v1_train_00085,네이버 모바일 연예판에도 AI 콘텐츠 추천 시스템 적용,5
ynat-v1_train_00093,문대통령 호주 총리와 축구 평가전 1대1 무승부 축하,1
ynat-v1_train_00099,北 무수단 발사 대기권 재진입 기술 확보 여부가 관건,1
ynat-v1_train_00100,北 서방에 백두산 연구 먼저 제의…과학외교 활발,5
ynat-v1_train_00104,승리에도 침통했던 박기원 감독 엔진을 끈 것 같다,0
ynat-v1_train_00117,어촌으로 봄 여행 떠나볼까…해수부 체험 마을 20곳 추천,2
ynat-v1_train_00118,러 우주로켓 벼락 맞고도 멀쩡…탑재 위성 정상궤도 올려,3
ynat-v1_train_00119,게시판 인터넷신문위원회 언론분쟁 대처 교육,1
ynat-v1_train_00140,무등산에서 광주지역 올해 첫 얼음 관찰,5
ynat-v1_train_00143,지소미아 종료까지 8일…美 압박 속 고민 깊어지는 文대통령,4
ynat-v1_train_00144,호텔서 스타 셰프 음식 만난다…더플라자 레스토랑 4곳 오픈,4
ynat-v1_train_00145,우리은행 박혜진 연봉 3억원으로 2년 연속 연봉 퀸,0
ynat-v1_train_00148,시리보다 내가 낫다…빅스비의 세로드립 도발종합,2
ynat-v1_train_00150,11월 소비자 지갑을 열어라…유통업계 할인 경쟁 격화,6
ynat-v1_train_00151,한국형 발사체 75t 엔진 첫 연소시험 성공,2
ynat-v1_train_00162,北당대회 나흘만에 일부 외신 취재허용…김정은 위원장 취임 발표,6
ynat-v1_train_00164,日도쿄 주택가 공원 연못서 토막시신 발견,4
ynat-v1_train_00165,홍콩 시위 참여 여성 경찰서에서 알몸 수색 강요당해,1
ynat-v1_train_00166,삼성 세계 최초 후면 쿼드카메라 탑재 갤럭시A9 공개,1
ynat-v1_train_00173,홍남기 미래부 1차관 서울혁신센터 등 방문,0
ynat-v1_train_00175,북한 사이버 공격 집단 세계 은행들 상대 1천억 탈취종합,4
ynat-v1_train_00176,北발사체에 미일 당국자 통화…한미일 협력 확인,0
ynat-v1_train_00182,포천아트밸리서 높이 45ｍ 절벽 배경 야간 공중쇼,1
ynat-v1_train_00183,탈북민 착한봉사단 연천서 통일염원 벽화 그린다,1
ynat-v1_train_00185,금융발전심의회 전체회의,2
ynat-v1_train_00186,KB증권 농심 4분기 라면 부문 실적개선…목표주가↑,6
ynat-v1_train_00189,400년 전 일본 건너간 조선 첫 여성도공 백파선,1
ynat-v1_train_00193,구글 3세대 크롬캐스트 출시…신세계아이앤씨 단독 판매종합,1
ynat-v1_train_00194,서울자유시민대학 초대 학장에 정재권 전 한겨레신문 논설위원,1
ynat-v1_train_00201,빛으로 작동하는 나노선 트랜지스터 개발 성공,4
ynat-v1_train_00207,故문중원 기수 대책위 정부가 나서라…靑 인근까지 상여 행진,0
ynat-v1_train_00208,새누리 갈등 폭발한 상임 전국위·전국위는 어떤 기구,5
ynat-v1_train_00211,한국 남자농구도 월드컵 승전보…아시아 예선서 중국 제압,1
ynat-v1_train_00212,장애인 정책 발표하는 안철수,6
ynat-v1_train_00213,아시안게임 키르기스스탄전 앞둔 김학범 스스로 만든 가...,4
ynat-v1_train_00220,삼성 2분기 세계 스마트폰 점유율 1위 지켰다…중국 맹추격,1
ynat-v1_train_00222,네덜란드 정부 보스니아 무슬림 학살사건에 10% 책임,4
ynat-v1_train_00223,카카오미니 예판 38분 만에 마감…접속 몰려 에러 속출,6
ynat-v1_train_00224,민주 누리과정예산 확보 대신 법인세 양보 모색,1
ynat-v1_train_00227,청년 디지털 일자리 등 3차 추경 사업 민간 채용률 겨우 11%,4
ynat-v1_train_00229,보령소식 보령시 시간선택제 공무원 3명 모집,3
ynat-v1_train_00230,류현진 FA 랭킹 7위…막판 부진으로 온갖 의문 낳아,6
ynat-v1_train_00232,충북 가마솥더위 지속…주말도 더워요,2
ynat-v1_train_00234,억만장자 베니 스타인메츠 阿 광산 뇌물 혐의로 기소돼,1
ynat-v1_train_00235,신간 답이 보이지 않는 상황을 견디는 힘,4
ynat-v1_train_00242,배구 남녀 대표팀 임도헌라바리니 감독 보령서 짧은 상견례,3
ynat-v1_train_00251,삼성·애플·LG·구글 스마트폰 가을대전 임박,0
ynat-v1_train_00253,폴란드서 이란 겨냥 美주도 60여개국 중동문제회의 시작,2
ynat-v1_train_00254,네이버 인공지능으로 식당 예약 전화 받는 AI 콜 공개,1
ynat-v1_train_00255,봄비 머금은 꽃망울,2
ynat-v1_train_00259,KT 인공지능 기술로 목소리 찾아드려요…목소리 찾기 프로젝트,3
ynat-v1_train_00260,아이폰11 프로 써보니…프로다운 카메라 성능 기대 이상,1
ynat-v1_train_00262,국립민속박물관 아카이브 만들기 특별전 개최,6
