ID,text,target
ynat-v1_train_00000,KT·이용기간 2년 단축,4
ynat-v1_train_00001,K찰·국회의장 2명 송치,3
ynat-v1_train_00002,김정은·자주통일 새롭게 나아가야,2
ynat-v1_train_00004,미 대선 앞두고 러시아 해킹 감시 강화,6
ynat-v1_train_00006,프로야구 롯데-KIA 광주 경기 취소,1
ynat-v1_train_00010,모하비 열풍·주가 고공행진,5
ynat-v1_train_00013,아이폰 수리·맥북 디스플레이 교체,4
ynat-v1_train_00014,민관 2동 7사위·X보 철거,2
ynat-v1_train_00018,전 연정연 작가,0
ynat-v1_train_00021,KIA·팬들에게 감사 인사 전해,1
ynat-v1_train_00022,현대차·임원 6명 늘린다,3
ynat-v1_train_00025,선 폭·현장 조사 결과 발표,2
ynat-v1_train_00026,"STJ레콤·2분기 영업이익 4,105억원…21% 증가",5
ynat-v1_train_00027,생체인증 도입·서비스 이용 끝,4
ynat-v1_train_00028,감독 2호 축구연맹에 회부,1
ynat-v1_train_00029,인천·35℃ 폭염 속 축구 경기 열기 뜨겁다,1
ynat-v1_train_00030,해외 로밍·폭탄처럼 빨라진다,4
ynat-v1_train_00031,세계무역협회·무역인 1천550명 배출,3
ynat-v1_train_00032,박항서 감독·베트남 축구 대표팀 이끌다,1
ynat-v1_train_00033,석면 규정 지켜야,3
ynat-v1_train_00037,생산 인공광·DCST C 기보다 효과적,4
ynat-v1_train_00041,다저스·버츠 감독 체제 하에 담당 포수 확정!,1
ynat-v1_train_00042,창조경제 논의·WEF 연차총회서 열려,2
ynat-v1_train_00044,산업 생산 증가·제조업 가동률 상승,5
ynat-v1_train_00045,특별 제품 흔들,3
ynat-v1_train_00046,5명 농구팀·4개 은행 직원 꺾어,1
ynat-v1_train_00047,김종인 라더스 사태·충격 지속,2
ynat-v1_train_00048,김정은·트로트 보니 춤 실력 모르겠다,1
ynat-v1_train_00049,인공지능·진보인가?,3
ynat-v1_train_00050,미국 MBA·여성 비율 꾸준히 증가,6
ynat-v1_train_00052,한국에서 얼마나 벌 수 있을까?,4
ynat-v1_train_00053,코로나 시대 등교 모습,3
ynat-v1_train_00054,LG V40·5개 카메라로 촬영의 즐거움 선사,4
ynat-v1_train_00055,스마트폰 분실 막는 스마트 트래커,4
ynat-v1_train_00057,문 대통령·김정은 회담 조속히 마무리,2
ynat-v1_train_00058,한M2 치료제 개발 본격화,6
ynat-v1_train_00062,10만 명 돌파,5
ynat-v1_train_00064,유럽 연합·상품 교환 합의,6
ynat-v1_train_00065,3부·국제사회 일원!,2
ynat-v1_train_00067,콩나물 값 폭등·지하철 이용객 증가,6
ynat-v1_train_00069,D1v 활성화·고용 안정에 도움 될까?,3
ynat-v1_train_00074,월드컵 사령탑 S 감독·한국전 승리 자신감,1
ynat-v1_train_00075,특허 6호·금조달에 52P 신고,5
ynat-v1_train_00076,북한·민주주의 전선 결성 보고회 개최,2
ynat-v1_train_00077,법정·내 처리 요구,5
