ID,text,target
ynat-v1_train_00000,KT·이용기간 2년 단축,4
ynat-v1_train_00001,K찰·국회의장 2명 송치,3
ynat-v1_train_00001,K 검찰·국회의장 2명 송치,3
ynat-v1_train_00002,김정운·자주통일을 향해 새롭게 나아가야 한다.,2
ynat-v1_train_00002,김정은·자주통일 새롭게 나아가야,2
ynat-v1_train_00003,갤노트8 주말 27만대 개통… 시장·불법 보조금으로 얼룩지다,4
ynat-v1_train_00003,갤노트8 주말 27만대 개통…시장은 불법 보조금 얼룩,4
ynat-v1_train_00004,미국 대통령 선거를 앞두고 러시아 해킹 감시 강화,6
ynat-v1_train_00004,미 대선 앞두고 러시아 해킹 감시 강화,6
ynat-v1_train_00005,美성인 6명 중 1명꼴 배우자·연인 빚 떠안은 적 있다,6
ynat-v1_train_00005,미혼남녀 6명 중 1명은 배우자나 연인의 빚을 진 적이 있다.,6
ynat-v1_train_00006,프로야구 롯데·KIA 광주 경기 취소,1
ynat-v1_train_00007,아가메즈 33득점 우리카드 KB손해보험에 완승… 3위 확정…,1
ynat-v1_train_00007,아가메즈 33득점 우리카드 KB손해보험 완파…3위 굳…,1
ynat-v1_train_00008,박 대통령·깜짝 놀란 모습… 경주 지진 현장 방문 종합,2
ynat-v1_train_00008,朴대통령 얼마나 많이 놀라셨어요…경주 지진현장 방문종합,2
ynat-v1_train_00009,듀얼심 아이폰 하반기 출시설이 제기되고 있다… 저가 스마트폰에 대한 기대감,4
ynat-v1_train_00009,듀얼심 아이폰 하반기 출시설 솔솔…알뜰폰 기대감,4
ynat-v1_train_00010,모하비 열풍·주가 급등 폭풍,5
ynat-v1_train_00010,모하비 열풍·주가 고공행진,5
ynat-v1_train_00011,NH투자 1월 옵션 만기일 매도 우세,5
ynat-v1_train_00012,황총리 각 부처 비상대비태세 철저히 강구해야,2
ynat-v1_train_00012,황 총리 각 부처·비상시 대비태세 철저히 해야,2
ynat-v1_train_00013,아이폰 수리 및 맥북 디스플레이 교체,4
ynat-v1_train_00013,아이폰 수리·맥북 디스플레이 교체,4
ynat-v1_train_00014,민관 2동 7사위·X보 철거,2
ynat-v1_train_00014,민관 2동 7賽·X坊 철거,2
ynat-v1_train_00015,게시판 KISA 박민정 수석연구원 APTLD 이사 선출,3
ynat-v1_train_00015,게시판 KISA 박민정 책임연구원 APTLD 이사 선출,3
ynat-v1_train_00016,공사업체 협박에 분쟁해결 명목 돈 받은 언론인 집행유예,3
ynat-v1_train_00016,건설사 협박에 분쟁 해결 명목으로 금품 수수한 언론인 집행유예 판결,3
ynat-v1_train_00017,월세 전환에 늘어나는 주거비 부담…작년 역대 최고치,5
ynat-v1_train_00017,월세화로 늘어나는 주거비 부담… 지난해 역대 최고 수준,5
ynat-v1_train_00018,전 연정연 작가,0
ynat-v1_train_00018,원종영 작가,0
ynat-v1_train_00019,페이스북 인터넷 드론 아퀼라 실물 첫 시험비행 성공,4
