ID,text,target
ynat-v1_train_00000,정i :파1 미사z KT( 이용기간 2e 단] Q분종U2보,4
ynat-v1_train_00001,K찰.국DLwo 로L3한N% 회장 2 T0&}송=,3
ynat-v1_train_00002,"m 김정) 자주통일 새,?r열1나가야1보",2
ynat-v1_train_00004,pI美대선I앞두고 R2fr단 발] $비해 감시 강화,6
ynat-v1_train_00006,프로야구~롯TKIAs광주 경기 y천취소,1
ynat-v1_train_00010,oi 매력 R모h츠a열#w3약 >l·주가 고Q/진,5
ynat-v1_train_00013,아이`XSI수리0* b대`…맥3 디dF레< 41/',4
ynat-v1_train_00014,"문/인 당2 4nS 민관2동7사위 /""X보 철거tt",2
ynat-v1_train_00018,개R전 연w정연H 작가,0
ynat-v1_train_00021,KIA I수단·팬nI께하는:호kQ4M족 한마5 S최,1
ynat-v1_train_00022,현N차sJ <e 임원6늘려…~세z 리g (보j 육y,3
ynat-v1_train_00025,-선 폭:n@ 현장N조Z,3
ynat-v1_train_00027,생r인증②_D안*a제bK 유@되면 대J _가끝,4
ynat-v1_train_00028,GD n{n.강d}감독 2로축구연맹WS7(0/회부,1
ynat-v1_train_00029,"p-축구M인천 ,qN 35c운드 r&Q{영`",1
ynat-v1_train_00030,해외로밍 m금폭탄 n동차단 더 빨$진다,4
ynat-v1_train_00031,세계K인무역협회 올S#$'2 무역인 1천b55w 배출한(,3
ynat-v1_train_00032,박항C 매직c베트남i축구_표팀K.?^# 쏟;*:d,1
ynat-v1_train_00033,학~ 석면 S거 규정k지키5,3
ynat-v1_train_00037,"dcST C, 생산 인공광Fy에d""기보다BS에*!6활ht""y@적",4
ynat-v1_train_00041,다저스 _버츠 감독J류현4 담당 포수!최! 환^ 만들P...,1
ynat-v1_train_00042,W;E& F일 연k상t의장 G견u창조경제 논의,2
ynat-v1_train_00044,산업생산jQ8째 L고 제조1가동률은-금융위jS수yk합2보,5
ynat-v1_train_00045,x' 유^ 의H%eprM못gz고r사표…특별1LX제 흔들,3
ynat-v1_train_00046,5자농R 4R은행f삼[m명 꺾$N$직@P {,1
ynat-v1_train_00047,"김종ll리먼 ^라더스 사태처럼 6Mq 충격@지속""KIN을 것",2
ynat-v1_train_00048,"Vq)Z!\자o구 김정Re트로1$보니C.도l모르"".Qk이",1
ynat-v1_train_00049,"인국공I{태NL년D의 bT,무jlv공u{고?진보인가",3
ynat-v1_train_00050,"美MBA[여성 비율x계속 x가4주$E19a대 U입생 중Ym,%",6
ynat-v1_train_00052,위클>&스PS)[플코리아7f] 한국서e얼마나 벌!을',4
ynat-v1_train_00053,코로나 r대^등교)모습,3
ynat-v1_train_00054,"찍W ,fK는 즐거m T졌다…5개 카메: LG V40 z큐",4
ynat-v1_train_00055,스마트폰'b실 막는 스l트 트%커,4
ynat-v1_train_00057,"문대통령 김정*m트/프7 YTD 조속히H끝내고 A다고!,p2합",2
ynat-v1_train_00058,한#M2 !는 유`8 치료제 오B솔 美 임{ 3a 본격화,6
ynat-v1_train_00059,아사w 트K프 외교S험k없다고…i5오바I도]KR<8였-,6
ynat-v1_train_00062,"CT|2fSSt0 877vA자 10만명 돌,",5
ynat-v1_train_00064,유라1아3경w연합r?회q상품/|M3교환 합의,5
ynat-v1_train_00065,3부 리수cW^MT北d국제사회<-임M일원!V는데 기4JR9,2
ynat-v1_train_00067,x콩-P면금[T 나%\…g트=물J1h나고 지>철 %기고,6
ynat-v1_train_00069,T선 D1v 울`B경i활성화;고용안S %&소7?합,2
ynat-v1_train_00074,월드9U천재 사령탑 S시코 !'O오 감독 한국전R...,1
ynat-v1_train_00075,특O:H6호에k' Gc모&h금조달에 52P 신고가,5
ynat-v1_train_00076,北조국통!민주X#전선 결성 <0돌 중;보고회 열x,2
ynat-v1_train_00077,"aGma일!리""c $산 _R…법정=l 내 처리>W요",5
ynat-v1_train_00079,본t카 애스턴마틴 Sp라 국내 4P…500대g 생산,0
ynat-v1_train_00082,추신수 시g경기~o종^ 2j넷b타율|0.21u,1
ynat-v1_train_00083,#Ca유영준:왕웨이+ $직 조심스러워…h구 h 805+)내,1
ynat-v1_train_00084,ip*한국사이버[제 U분기 영업익ux0u원?!.G$ 감소,5
ynat-v1_train_00086,~리비{3Qn'9 신분 변:+허용…의료u서로 사전w입p해야,6
ynat-v1_train_00087,"수능 6?'{=""원)%&G울 문O서 h개한 \꽃Z",0
ynat-v1_train_00089,"SHT 내비게s션cTW&/ 국민h,!p yi",3
ynat-v1_train_00090,서울문고 N풍그U에 인수… f라인서점 교m영풍y양강d도로,0
ynat-v1_train_00091,온*으Q 한방 바Z_를 느끼다…|천~한방D스N D20,3
ynat-v1_train_00092,F% 전ZD78개 tn2a매\서 :<[+T 체험pjX ~련,4
ynat-v1_train_00094,"멀티골 j순형 u로축구 pB그1 1""\운드FXVP",1
ynat-v1_train_00096,"LGh UIo]에""구글kO~fNP !T…G+[피커 없,H _용",4
ynat-v1_train_00097,종이 ~면 ~어도$삼z중공/ 3Dxp델로 설> s증받는다,4
ynat-v1_train_00098,올#%서5외i어s울h증 oIp자Ej역#o m,4
ynat-v1_train_00103,"D도t ,{2자 ;H대, 교육·j@y목적d<WsU허",5
ynat-v1_train_00105,K^한국관광공사X업무y약@체결,3
ynat-v1_train_00107,프랑스 마N}의 이I 대\- G7 ;청설 c인,6
ynat-v1_train_00108,속(지역 도시 난개발L방C^zcv개정안 발의 놓d B등,3
ynat-v1_train_00109,}독Q멈=선  데L수M원대[면~점·2p 인;도 무산,5
ynat-v1_train_00110,y=sc럼*광합성하h f공장W 개발,4
ynat-v1_train_00112,"與비박계 내일}""단'당…개혁보수신당E!당추진위 M동",2
ynat-v1_train_00113,신간 Z끗 g이`V자cJ법>{코뮤니3트?33,0
ynat-v1_train_00114,땅 파= 코l나 격리시설 탈출한 외국인 청_서 VS,3
ynat-v1_train_00116,전광인4없어도 한국전L FTV4컵서 현:캐피탈 격파종합,1
ynat-v1_train_00120,朴t)령 北Ph각한 균s조짐…i}동요f가LU~Hj종합,2
ynat-v1_train_00121,"손경w ,J 회V e즈베fym관% 협력방안 9의",5
ynat-v1_train_00122,_대통령·시도P]y일e리g언…지`이 고용-R 주역종합,2
ynat-v1_train_00123,"157㎞ 조:우 선동, _독%과Wk께PAG 5전i고>",1
ynat-v1_train_00124,발언하\ 박광E,2
ynat-v1_train_00125,2자배구}대k팀*코7진 구성 완료…트R}너에 정기혁,1
ynat-v1_train_00126,날씨-미z먼지 보통 수y…오후부터 xJ지고:곳곳 F12일,0
ynat-v1_train_00127,선두5도X공사*GS칼텍$^K;dhb현Q#i탈7m연승]합,1
ynat-v1_train_00128,수( 이F[I인an고3 수<생N확L 잇I]…교7 당국5.각,3
ynat-v1_train_00129,20T9년s제1회 외K인투자~정@협의회,5
ynat-v1_train_00130,"게$판,QK텔d크_아이폰4O아이U}<TyF매 이벤트",4
ynat-v1_train_00131,모멘트 학교 급식U4칸막이lx곡,3
ynat-v1_train_00132,"올해iEIDFO*상에 멀리 개 짖는 소w가 들""S",0
ynat-v1_train_00133,?씨D m년 h업8 16<K*…h4.8%3,5
ynat-v1_train_00135,!대+화점 팝 pvhv`V트Y랩 진T,0
ynat-v1_train_00136,xW리 a)엔 예비후0V사전여론조사 결과 유출 논c,2
ynat-v1_train_00138,삼성 빅스. 개발자데KS1B월 서울B 첫 +최,4
ynat-v1_train_00139,떼었S 붙였다 액세서리Y 스마C폰 업U레이드,4
ynat-v1_train_00141,"알림톡 무단 +송·pRL,5출 $카(*DF징q",4
ynat-v1_train_00146,# 친박 원내L표Oi보\유Z G단B화J홍문<.8$>도T종합,2
ynat-v1_train_00147,도자기g작품_E상O%{$람객들,0
ynat-v1_train_00149,분당X'k gIdi}X'3·1 야ekK대^)t대립,2
ynat-v1_train_00152,김정은 $향gIx x산시 za,2
ynat-v1_train_00154,[반기 전}FjQQ 74Q여z…L년보~ 3.1%↓,5
ynat-v1_train_00155,S.수협은. 공공주택8</보)금 &보!y8출:,5
ynat-v1_train_00157,"사법부 판결…불*:6U@Jx~(s }H AI.6f4,X터",3
ynat-v1_train_00158,최고V원중9의원@{FU*에U\;x하는6A교안,2
ynat-v1_train_00159,中[정u 지방W민0투Ad실태K6L}착5,6
ynat-v1_train_00161,S9XOC카cO트6온라인 F개강좌 공동 개설,3
